site,A_orig,A_lower,A_upper,R0_orig,R0_lower,R0_upper,gamma_orig,gamma_lower,gamma_upper,k_orig,k_lower,k_upper,t0_orig,t0_lower,t0_upper
Acute myeloid leukemia,1.79499920881495,1.5249421719630563,6.820163122171994,82013.58861630358,9688.324057658741,13792.966497756148,1.3078944575621154,0.28231298984833564,0.34872614012274417,-0.9999999999939042,6.095679516704422e-12,4.096282424370656e-09,85.06573694387158,1.1706950165482226,20.324089107288273
Chronic lymphocytic leukemia,7.072831114114555e-05,5.762132129864681e-05,0.0003524697505185558,69387.87806018304,6712.892026150599,8744.010872334853,4.324716444208821,0.403832337726036,0.3767359623316864,-0.12522759147709858,0.02546839587154781,0.013235204293545966,69.60498978082784,3.236908750270942,3.9044229977697
Chronic myeloid leukemia,48.29905228164002,46.678478275623775,52.58094428962229,95262.62637876306,7314.613649809908,44807.21199084833,0.2840374856645497,0.13337641587701876,0.6635317959065614,-7.282578388210365e-18,0.018671078503422613,7.282578388160736e-18,77.64879779548251,57.64879779545255,42.351202182815044
Diffuse large B cell lymphoma,0.6042444794836315,0.4566523416857209,0.9071351887190118,95453.94926811998,9011.624840582997,15154.577331401611,1.6412166009808302,0.15192700130789194,0.2537258448628841,-0.9999999999962811,3.718803043284424e-12,0.32341519204294655,83.85852284858757,0.4145763603623607,0.7109389201080774
Follicular lymphoma,0.0003759439142271269,0.00013891443208683375,0.00011504921199527403,267812.560890053,16699.75438967551,38206.50913443003,2.890962596240815,0.0629047321015328,0.09878691384638749,-0.11045097690624667,0.015581287298096963,0.011298105441187478,81.09504965340508,1.0501525464936918,1.092345138307536
Multiple myeloma,5.225928880782911e-05,3.191354337370038e-05,7.026217374365629e-05,111695.24112914337,8958.910047146084,13565.945888397153,3.9742332968578027,0.18961361491672113,0.20515547439128445,-0.11864151994983026,0.025624263353894408,0.014761178165546007,75.51056183276047,2.312474593708032,2.4714725619156894
Lung adenocarcinoma,4.7948814000110764e-08,1.3267987812510408e-08,1.8874674338829918e-08,324474.58799497224,26395.991113948927,39592.26563881431,5.578459916050484,0.07755231402896445,0.0693586870510039,-0.14085220866453427,0.00837866611525337,0.005110388696256185,74.94564275071227,0.5420556093740458,0.7947452167063744
Lung squamous cell carcinoma,8.755667731699602e-07,7.503811371956013e-07,4.550020646878731e-06,63129.424613859584,6224.379799352224,7717.2006414357675,5.669096634696495,0.3665370782494195,0.4045607144336216,-0.19733371219636475,0.029848267973989706,0.01652769501102755,72.33757340134268,1.5098488657154405,1.8231813458142199
Small cell lung carcinoma,3.371572682955841e-10,3.067963278621722e-11,4.964516599890946e-11,263892.57079085155,10379.583440723945,18149.32926241652,6.685125680426711,0.041355626512189936,0.021965237215417766,-0.1587576990406339,0.004434525230102654,0.002519303965259484,68.84298797575336,0.2696257248031628,0.5541153628229694
Kidney clear cell carcinoma,5.623447600019576,5.2221648984272,10.917808129569151,60826.52562955594,4091.6315422064217,8983.155574114964,1.8101748091217016,0.22320480339232018,0.5686164385735686,-0.1544948352654061,0.030547919639530546,0.022712212837568996,72.53573645548344,3.267385218424536,2.4005610079738773
Kidney papillary carcinoma,24503.204910153705,24468.777307959917,75496.79508970666,30083.653252747314,1699.7340348713878,4730.698294874001,0.5054071482446999,0.3005309211609519,1.3880498968079764,-0.2206133666074954,0.046744394916856474,0.028653235795059934,69.71824134405843,2.997078941914694,2.662107320062532
Kidney chromophobe carcinoma,0.37910521257380064,0.3500106059800606,0.4549971659342627,86769.69628520217,4875.2974020828115,21787.08065991805,1.339820933443926,0.17020158474384517,0.4987409550773896,-0.18686531359830735,0.036524869518729214,0.03613256797289177,77.0061545612595,1.861154414630235,1.4391691497927752
Colorectal adenocarcinoma,0.007173355108583956,0.004958323372083772,0.011908109189823428,122781.35545821069,11414.50193606381,16855.44829778417,3.1203693248022546,0.24843980619584993,0.3281581497778441,-0.0677737295502309,0.030186955186147557,0.016478598555623128,76.43599346276699,12.782059556544738,6.7108992872416735
Gastric adenocarcinoma,35.17677873764012,33.64350675664927,106.3090381568951,50441.103491047535,4483.963201523671,6993.806206959365,1.310137715399303,0.22835651569629034,0.6905661105288186,-0.17023046753866417,0.06961825951505135,0.058356151325687194,81.01109579539934,4.497133211056138,2.1039835464682994
Pancreatic adenocarcinoma,1.8856962734888556e-07,9.137416555793179e-08,2.2895770664787954e-07,173458.14155356734,18262.508079886582,23143.26384214565,5.243358322509852,0.17628673565577557,0.14066555850383455,-0.12356553339859035,0.013250788072506639,0.007641062512330099,72.75268504942433,1.2505957096146716,1.8002999428899642
Melanoma of skin,1102.109196838803,1047.3163548386053,1968.2430002881954,60934.73083758072,4080.944391436664,11084.31597514794,0.49629013882680634,0.18933630189095318,0.6085145564062433,-0.1917169010156721,0.06623367830818841,0.06958063476588405,82.51404472669469,2.9113602107438936,1.8712895561263991
Malignant gliomas,4.563444459705646,3.7081422374479356,6.695608681002876,86132.03698325885,8055.101034925829,14943.472295448591,1.113916180436514,0.14795693035336277,0.3055521072659655,-0.25591187268630033,0.03892672351531756,0.02823525866969559,81.76419856661568,0.8870106107130482,0.7876539376818528
Soft tissue sarcomas,23.909321892144362,21.749652443121533,14.34368334505509,90961.36817474768,5434.474056100196,21900.714862206194,0.5532955286768179,0.08040591233813504,0.39979232840965817,-2.0105569776535326e-21,0.32660249382674184,2.0105569681310454e-21,78.49058989551015,58.37608459242024,41.50745772390489
All sites,16.702916593190068,12.374507218671258,30.914713466553444,84694.70405251055,8205.584957283529,10945.249613892185,1.8851775654243985,0.18147792741035595,0.24811669967503258,-0.23522327024594653,0.05557052103925536,0.03289916796682574,83.78522021253848,1.2712204049020386,1.1659685105930322
