"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Lung adenocarcinoma","00 years","Male and female","0.014","0.006","0.005","0.03",6,43061201
"Lung adenocarcinoma","00 years","Male","0.005","0.005","0","0.025",1,22011981
"Lung adenocarcinoma","00 years","Female","0.024","0.011","0.008","0.055",5,21049220
"Lung adenocarcinoma","01-04 years","Male and female","0","~","0","0.002",0,172923682
"Lung adenocarcinoma","01-04 years","Male","0","~","0","0.004",0,88392817
"Lung adenocarcinoma","01-04 years","Female","0","~","0","0.004",0,84530865
"Lung adenocarcinoma","05-09 years","Male and female","0.002","0.001","0","0.005",4,219155625
"Lung adenocarcinoma","05-09 years","Male","0.002","0.001","0","0.006",2,112012583
"Lung adenocarcinoma","05-09 years","Female","0.002","0.001","0","0.007",2,107143042
"Lung adenocarcinoma","10-14 years","Male and female","0.005","0.001","0.002","0.009",11,228557404
"Lung adenocarcinoma","10-14 years","Male","0.004","0.002","0.001","0.01",5,116939349
"Lung adenocarcinoma","10-14 years","Female","0.005","0.002","0.002","0.012",6,111618055
"Lung adenocarcinoma","15-19 years","Male and female","0.015","0.003","0.011","0.021",35,229160336
"Lung adenocarcinoma","15-19 years","Male","0.014","0.003","0.008","0.022",16,117683875
"Lung adenocarcinoma","15-19 years","Female","0.017","0.004","0.01","0.027",19,111476461
"Lung adenocarcinoma","20-24 years","Male and female","0.063","0.005","0.053","0.074",145,229290703
"Lung adenocarcinoma","20-24 years","Male","0.064","0.007","0.05","0.08",75,117600125
"Lung adenocarcinoma","20-24 years","Female","0.063","0.007","0.049","0.079",70,111690578
"Lung adenocarcinoma","25-29 years","Male and female","0.178","0.009","0.161","0.196",412,231301985
"Lung adenocarcinoma","25-29 years","Male","0.15","0.011","0.129","0.174",176,117171061
"Lung adenocarcinoma","25-29 years","Female","0.207","0.013","0.181","0.235",236,114130924
"Lung adenocarcinoma","30-34 years","Male and female","0.501","0.015","0.473","0.531",1153,230073908
"Lung adenocarcinoma","30-34 years","Male","0.471","0.02","0.432","0.512",546,115938128
"Lung adenocarcinoma","30-34 years","Female","0.532","0.022","0.49","0.576",607,114135780
"Lung adenocarcinoma","35-39 years","Male and female","1.29","0.024","1.244","1.337",2951,228762701
"Lung adenocarcinoma","35-39 years","Male","1.11","0.031","1.05","1.172",1273,114709436
"Lung adenocarcinoma","35-39 years","Female","1.471","0.036","1.402","1.543",1678,114053265
"Lung adenocarcinoma","40-44 years","Male and female","3.716","0.04","3.637","3.796",8471,227960237
"Lung adenocarcinoma","40-44 years","Male","3.214","0.053","3.11","3.32",3652,113631501
"Lung adenocarcinoma","40-44 years","Female","4.215","0.061","4.097","4.336",4819,114328736
"Lung adenocarcinoma","45-49 years","Male and female","8.976","0.063","8.853","9.101",20195,224982270
"Lung adenocarcinoma","45-49 years","Male","7.942","0.084","7.778","8.109",8865,111622077
"Lung adenocarcinoma","45-49 years","Female","9.995","0.094","9.811","10.18",11330,113360193
"Lung adenocarcinoma","50-54 years","Male and female","18.872","0.093","18.69","19.056",40909,216770042
"Lung adenocarcinoma","50-54 years","Male","17.88","0.129","17.627","18.135",19105,106853315
"Lung adenocarcinoma","50-54 years","Female","19.837","0.134","19.574","20.102",21804,109916727
"Lung adenocarcinoma","55-59 years","Male and female","35.06","0.133","34.799","35.323",69131,197177690
"Lung adenocarcinoma","55-59 years","Male","34.834","0.19","34.462","35.209",33500,96171628
"Lung adenocarcinoma","55-59 years","Female","35.276","0.187","34.911","35.644",35631,101006062
"Lung adenocarcinoma","60-64 years","Male and female","57.881","0.187","57.516","58.248",96152,166118894
"Lung adenocarcinoma","60-64 years","Male","59.746","0.273","59.211","60.285",47735,79896239
"Lung adenocarcinoma","60-64 years","Female","56.153","0.255","55.654","56.656",48417,86222655
"Lung adenocarcinoma","65-69 years","Male and female","88.467","0.258","87.961","88.974",117352,132650888
"Lung adenocarcinoma","65-69 years","Male","93.216","0.387","92.46","93.977",58154,62386128
"Lung adenocarcinoma","65-69 years","Female","84.25","0.346","83.573","84.931",59198,70264760
"Lung adenocarcinoma","70-74 years","Male and female","118.099","0.339","117.436","118.765",121630,102989851
"Lung adenocarcinoma","70-74 years","Male","128.518","0.524","127.494","129.548",60261,46889081
"Lung adenocarcinoma","70-74 years","Female","109.391","0.442","108.527","110.26",61369,56100770
