#site,A,D0,gamma,k,t0
acute_myeloid_leukemia_aml,0.11751145554902474,100563.15966968318,1.6574833344099313,-0.9999999999795276,83.65025535951827
chronic_myeloid_leukemia_cml,2.521248165423025,110812.30342646712,0.6469806438791909,-0.15801320008720782,87.47148812729742
chronic_lymphocytic_leukemia_cll,9.441114669668338e-09,80340.90351375673,6.111179882316105,-0.13755033023235766,64.65736830553381
diffuse_large_b_cell_lymphoma_dlbcl,0.021618661854201172,116750.64092648731,2.1629530247795157,-0.3695233535810028,84.70132581692872
follicular_lymphoma,6.614039426478924e-07,320307.30709211325,4.311070360256498,-0.08413793273303559,69.58003667734407
multiple_myeloma,1.1040628054302356e-08,130982.72867277662,5.767357065197237,-0.11127268051607142,66.78292172831169
colorectal_adenocarcinoma_mss,1.4533763481459227e-06,145073.39791931366,5.054109118426922,-0.07177198504846562,55.598412861364224
gastric_adenocarcinoma,0.10832831659307268,59535.836243962214,2.3332562121821048,-0.1471137742557854,74.08615779397381
pancreatic_adenocarcinoma,2.6883716822721917e-11,195054.47736190984,7.132725797752581,-0.12244395782537834,66.6809552338836
lung_adenocarcinoma,1.3239117528867027e-11,393583.8370688101,7.293555270042072,-0.13411474016666072,71.13741707682242
lung_squamous_cell_carcinoma,4.1187933179581003e-10,70769.78427186115,7.057164797525787,-0.2080798514322512,70.40911421629541
small_cell_lung_carcinoma,2.3188737891602027e-14,281743.8617144828,8.710782853609784,-0.1620123042853076,66.02828126845715
kidney_chromophobe_carcinoma,0.0010350048262033474,107886.22774291184,2.5247751134852967,-0.1416822521818759,70.76733707334112
kidney_clear_cell_carcinoma,0.006646723803579057,71984.17500033964,3.1220075902629683,-0.15221573843463715,67.11034357295397
kidney_papillary_carcinoma,17.832078461296096,36409.82445460504,1.6174909841458422,-0.2454560738230198,67.60624511853054
malignant_gliomas_astrocytic_tumors,0.16460151110698126,100834.93422335947,1.6753008903780737,-0.212541602778415,79.19284225886572
melanoma_of_skin,7.081943665057058,75231.141254288,1.3956575192151637,-0.13235017923127865,76.17402913409929
soft_tissue_sarcomas,0.9199884089765795,105066.21181278198,0.9728225239045686,-0.21123471920217737,85.41483278214757
